카드 이름,연회비 (국내 / 해외),기준실적,주요 혜택,이벤트,URL
카드의정석 EVERY MILE SKYPASS,3만9천원 / 3만9천원,직전 1개월 합계 50만원 이상,스카이패스 1천원당 최대 2마일 적립 신규 회원 최대 3만9천원 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=102488&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=EVERY+MILE+SKYPASS&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10286&NaPm=ct%3Dm4dsxw0i%7Cci%3Da39ac367%2Db465%2D11ef%2Da5ae%2Dd4f5ef34636a%7Ctr%3Dcd%7Chk%3Dbcff7735e055a8bf58ea20b752efc167c4f00f7c
DA카드의정석Ⅱ,1만2천원 / 1만2천원,직전 1개월 합계 30만원 이상,할인한도 없이 국내외 청구할인 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=102534&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=DA%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9D2&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10333&NaPm=ct%3Dm4dt1iuy%7Cci%3D08ae0271%2Db466%2D11ef%2D803c%2D7858603c877a%7Ctr%3Dcd%7Chk%3Df49ed3796a65a1f9c045b5cc53b657290aedeae5
카드의정석 SHOPPING+,1만원 / 1만2천원,직전 1개월 합계 30만원 이상,온오프라인 쇼핑 10% 청구할인 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=102492&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%EC%B9%B4%EB%93%9C%EC%84%B9%EC%85%98&utm_content={keyword}&utm_term=%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9DSHOPPING+&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10345&NaPm=ct%3Dm4dt1rjh%7Cci%3D0f62c5df%2Db466%2D11ef%2D87bc%2Da0369ffbb5f8%7Ctr%3Dcd%7Chk%3D82de157f5bb9195d2d1aa753665d84b230edf8fe
카드의정석 TEN,1만2천원 / 1만2천원,직전 1개월 합계 40만원 이상,5대 일상영역 10% 청구할인 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=103686&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9Dten&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10376&NaPm=ct%3Dm4dt1yf4%7Cci%3D14b318e4%2Db466%2D11ef%2D80d2%2D002ec7dd3384%7Ctr%3Dcd%7Chk%3D67f87aa92544dccebbb432ad7a907707b2645092
카드의정석 EVERY DISCOUNT,1만2천원 / 1만2천원,조건없음,국내외 가맹점 기본 0.8% 청구할인 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=103729&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9D+EVERY+DISCOUNT&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10403&NaPm=ct%3Dm4dt2aao%7Cci%3D1ddfba5a%2Db466%2D11ef%2Da5ae%2Dd4f5ef34636a%7Ctr%3Dcd%7Chk%3Db563f37058cc0fade130dfe98f3e6dff41fe84be
카드의정석 EVERY POINT,1만2천원 / 1만2천원,조건없음,국내외 가맹점 기본 0.8% 적립 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=102718&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=EVERYPOINT&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10347&NaPm=ct%3Dm4dt2hl2%7Cci%3D23811344%2Db466%2D11ef%2D9e6a%2Dd4f5ef5dfefa%7Ctr%3Dcd%7Chk%3D6825cafea73fb645967bc57dd92173ba3046a049
카드의정석 I&U+,1만2천원 / 1만2천원,직전 1개월 합계 30만원 이상,국내가맹점 최대 1% 청구할인 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=102717&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9DI&U+&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10348&NaPm=ct%3Dm4dt2qth%7Cci%3D2aa31797%2Db466%2D11ef%2D9770%2Dd4f5ef59b8fe%7Ctr%3Dcd%7Chk%3Ddfc5b403f214bc0349ab98c3fa25d38ba7d01e76
우리 K-패스,1만3천원 / 1만5천원,직전 1개월 합계 30만원 이상,대중교통 및 자동납부 10% 청구할인 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=838395&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%EC%B9%B4%EB%93%9C%EC%84%B9%EC%85%98&utm_content={keyword}&utm_term=%EC%9A%B0%EB%A6%ACk-%ED%8C%A8%EC%8A%A4&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10360&NaPm=ct%3Dm4dt2xvn%7Cci%3D3017459a%2Db466%2D11ef%2D997e%2D48df377b8362%7Ctr%3Dcd%7Chk%3Db802af320e9b39f15dc8a8db100f269fc62279fc
D4카드의정석Ⅱ,1만2천원 / 1만2천원,직전 1개월 합계 30만원 이상,커피 55% 대중교통 33% 청구할인 신규 회원 최대 100% 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=103305&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=D4%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9D2&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10344&NaPm=ct%3Dm4dt38uj%7Cci%3D38907624%2Db466%2D11ef%2Dac61%2D48df37920b94%7Ctr%3Dcd%7Chk%3Dcf68d433f825e1cb504bbf0820254f24b7b24d06
우리 국민행복카드 S2,없음 / 없음,직전 1개월 합계 30만원 이상,국가바우처 임신/출산/보육 혜택 제공,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=100860&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%EC%B9%B4%EB%93%9C%EC%84%B9%EC%85%98&utm_content={keyword}&utm_term=%EA%B5%AD%EB%AF%BC%ED%96%89%EB%B3%B5%EC%B9%B4%EB%93%9Cs2&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10045&NaPm=ct%3Dm4dt3qn2%7Cci%3D464efc41%2Db466%2D11ef%2Db352%2D48df37934a0c%7Ctr%3Dcd%7Chk%3D1b18805617fbae326ff4fe63c19fbd03f7543a57
트래블월렛 우리카드,2만원 / 2만원,직전 1개월 합계 40만원 이상,해외 신용&선불결제 수수료 면제서비스 신규 회원 최대 2만원 지급,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=102722&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=travelwallet&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10290&NaPm=ct%3Dm4dt3w8d%7Cci%3D4aa0c9f2%2Db466%2D11ef%2D8ec0%2Dd4f5ef3241a0%7Ctr%3Dcd%7Chk%3Db8841ccc141bb02b69a23770cffaaab98c4a2d25
ALL 우리카드 Infinite,50만원 / 50만원,직전 1개월 합계 50만원 이상,1만 4천 ALL 리워드 포인트 제공+바우처,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=103187&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=ALL%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9CInfinite&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10315&NaPm=ct%3Dm4dt4r0y%7Cci%3D626a6bdd%2Db466%2D11ef%2D90ca%2Dd4f5ef24870e%7Ctr%3Dcd%7Chk%3D5ce0b61b0aeedfb4259f97093f24e1837eb33f02
ALL 우리카드 Premium,15만원 / 15만원,직전 1개월 합계 50만원 이상,4천 ALL 리워드 포인트 제공+바우처,https://pc.wooricard.com/dcpc/yh1/crd/crd01/H1CRD101S02.do?cdPrdCd=103188&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=ALL%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9CPremium&NVKWD=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C&NVADKWD=&NVAR=crd&NVADID=10316&NaPm=ct%3Dm4dt4xjx%7Cci%3D67752938%2Db466%2D11ef%2Da6f0%2D48df37934afc%7Ctr%3Dcd%7Chk%3Daebfdeda790941bdc03a98008369dbf247151d81