상품명,금리,조건,혜택
우리 SUPER 주거래 통장,기본금리 + 우대금리 최대 연 0.5%p,입출금이 자유로운 통장,"수수료 면제 혜택, 우리카드 결제 시 추가 우대금리"
우리 퍼스트 정기적금,기본금리 + 우대금리 최대 연 3%p,"우리은행 첫 거래 고객, 1년 만기",신규 고객 대상 우대금리 제공
우리 Magic 6 적금,최고 연 6.0%,"1년 만기, 월 최대 50만원 납입",우리카드 이용실적 및 자동이체 조건 충족 시 우대금리
우리 청년도약계좌,별도 공시,청년층 대상,청년층을 위한 특화 상품
우리 장병내일준비적금,별도 공시,현역 군인 대상,군 장병을 위한 특화 상품
데일리 워킹 적금,기본금리 + 우대금리 최대 10%,"1년 만기, 매일 10,000보 걷기 인증",걷기 인증 시 우대금리 제공
우리 We'll Rich 100 Savings,기본금리 + 우대금리 최대 연 0.2%p,"1년, 2년, 3년 중 선택 (최대 9년까지 재예치 가능)","연금 수령, 카드 소지, 인터넷뱅킹 가입 등 조건 충족 시 우대금리"
우리 Fortune Fixed Deposit,기간별 차등 금리 적용,"외국인 전용 상품, 1개월~1년 만기",해외송금 시 우대환율 적용
스무살 우리 정기적금,기본금리 + 우대금리 최대 연 0.5%p,"만 18세 이상 만 30세 이하, 1년/2년/3년 중 선택","우리카드 결제실적, 비대면 가입 시 우대금리"
우리 첫거래우대 정기예금,최고 연 3.50% (기본금리 연 2.50% + 우대금리 최대 연 1.0%p),"6~36개월 만기, 1백만원 이상 5천만원 이하 가입",우리은행 첫 거래 고객 대상 우대금리 제공
우리 유후 정기예금,기본금리 연 2.00% + 우대금리 최대 0.2%p,1년 만기,중도해지 시에도 3개월 만기 정기예금 수준의 금리 적용
우리드림하이 적금,기본금리 연 2.0% + 우대금리 최대 연 2.7%p,대학등록금 및 사회진출자금 마련용,"봉사활동, 헌혈, 자격증 취득 시 우대금리, 대학 합격 또는 취업 시 특별 우대이율"
우리 Magic 적금 by 현대카드,최고 연 5.7% (기본금리 연 1.7% + 우대금리 최대 연 0.5%p + 특별우대금리 최대 연 3.5%p),"1년 만기, 월 50만원 이하 납입",우리은행 거래실적 및 현대카드 사용실적에 따른 우대금리 제공
우리 프리미엄 정기예금,기본금리 연 2.5% + 우대금리 최대 연 0.3%p,"12개월 이상, 최소 가입금액 1천만원",장기 고객 우대금리 제공
우리 스마트 체크 적금,기본금리 + 우대금리 최대 연 4%,"기본금리 + 우대금리 최대 연 4%", 스마트폰 전용 상품 및 온라인 전용 우대금리
우리 가족사랑 적금,기본금리 + 우대금리 최대 연 3.2%,"가족 계좌 연결 시 혜택, 1년 만기",가족이 함께 가입 시 우대금리 제공
우리 청소년 첫 적금,기본금리 연 3% + 우대금리 최대 연 0.5%p,"만 13세~18세 대상, 1년 만기",청소년 대상 특별 금리 적용